LANGUAGE_CODE ja-JP
MENU_OPTION_MEDIUM ミディアム
MENU_OPTION_HIGH ハイ
MENU_OPTION_VERY_HIGH ベリーハイ
MENU_OPTION_DISTANCE_SHORT ショート
MENU_OPTION_DISTANCE_MEDIUM ミディアム
MENU_OPTION_DISTANCE_FAR ファー
MENU_OPTION_DEFAULT デフォルト
MENU_OPTION_APPLY 適用

MENU_OPTIONS_CONTROLS コントロール
MENU_OPTIONS_CONTROLS_INVERTED_Y_AXIS 逆Y軸
MENU_OPTIONS_CONTROLS_AIM_SENSITIVITY エイム感度
MENU_OPTIONS_CONTROLS_MOVE_FORWARD 前進
MENU_OPTIONS_CONTROLS_MOVE_BACKWARD 後退
MENU_OPTIONS_CONTROLS_STRAFE_LEFT 左
MENU_OPTIONS_CONTROLS_STRAFE_RIGHT 右
MENU_OPTIONS_CONTROLS_JUMP ジャンプ
MENU_OPTIONS_CONTROLS_CRAWL クロール
MENU_OPTIONS_CONTROLS_SPRINT スプリント
MENU_OPTIONS_CONTROLS_USE 使う
MENU_OPTIONS_CONTROLS_INVENTORY インベントリ
MENU_OPTIONS_CONTROLS_ATTACK 攻撃
MENU_OPTIONS_CONTROLS_CREATE クリエイト
MENU_OPTIONS_CONTROLS_ROTATION_NEXT 次のローテーション
MENU_OPTIONS_CONTROLS_ROTATION_PREVIOUS 前のローテーション
MENU_OPTIONS_CONTROLS_LIFT_UP 持ち上げる
MENU_OPTIONS_CONTROLS_LIFT_DOWN ダウンリフト
MENU_OPTIONS_CONTROLS_HOTBAR_NEXT 次のホットバーアイテム
MENU_OPTIONS_CONTROLS_HOTBAR_PREVIOUS 前のホットバーアイテム
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_1 ホットバーアイテム1
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_2 ホットバーアイテム2
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_3 ホットバーアイテム3
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_4 ホットバーアイテム4
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_5 ホットバーアイテム5
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_6 ホットバーアイテム6
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_7 ホットバーアイテム7
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_8 ホットバーアイテム8
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_9 ホットバーアイテム9
MENU_OPTIONS_CONTROLS_HOTBAR_ITEM_10 ホットバーアイテム10
MENU_OPTIONS_CONTROLS_ZOOM_IN ズームイン
MENU_OPTIONS_CONTROLS_ZOOM_OUT ズームアウトする
MENU_OPTIONS_CONTROLS_CHAT チャット
MENU_OPTIONS_CONTROLS_HANDBOOK ハンドブック
MENU_OPTIONS_CONTROLS_CANCEL キャンセル
MENU_OPTIONS_CONTROLS_BINDING_SCROLL_UP スクロールアップする
MENU_OPTIONS_CONTROLS_BINDING_SCROLL_DOWN 下へスクロール
MENU_OPTOINS_CONTROLS_BINDING_MOUSE_BUTTON MB
MENU_OPTIONS_CONTROLS_BINDING_MOUSE_BUTTON_LEFT LMB
MENU_OPTIONS_CONTROLS_BINDING_MOUSE_BUTTON_RIGHT RMB
MENU_OPTIONS_CONTROLS_BINDING_NOT_SET 設定無し

MENU_OPTIONS_AUDIO オーディオ
MENU_OPTIONS_AUDIO_MASTER マスターボリューム
MENU_OPTIONS_AUDIO_AMBIENT アンビエント
MENU_OPTIONS_AUDIO_MUSIC 音楽
MENU_OPTIONS_AUDIO_EFFECT 効果
MENU_OPTIONS_AUDIO_GUI GUI

MENU_OPTIONS_GRAPHICS グラフィック
MENU_OPTIONS_GRAPHICS_SHADOW_RESOLUTION シャドウの解像度
MENU_OPTIONS_GRAPHICS_SHADOW_QUALITY シャドウ品質
MENU_OPTIONS_GRAPHICS_SSAO SSAO
MENU_OPTIONS_GRAPHICS_FXAA アンチエイリアシング
MENU_OPTIONS_GRAPHICS_DOF 被写界深度
MENU_OPTIONS_GRAPHICS_BLOOM ブルーム効果
MENU_OPTIONS_GRAPHICS_GODRAYS ゴッドレイ
MENU_OPTIONS_GRAPHICS_FOLIAGE 観葉密度
MENU_OPTIONS_GRAPHICS_PARTICLES 粒子
MENU_OPTIONS_GRAPHICS_TEXTURE_QUALITY テクスチャ品質
MENU_OPTIONS_GRAPHICS_MODELS モデル
MENU_OPTIONS_GRAPHICS_DRAW_DISTANCE 描画距離

MENU_OPTIONS_DISPLAY ディスプレイ
MENU_OPTIONS_DISPLAY_FOV FOV
MENU_OPTIONS_DISPLAY_DISPLAY_MODE ディスプレイモード
MENU_OPTIONS_DISPLAY_DISPLAY_MODE_FULLSCREEN 全画面表示
MENU_OPTIONS_DISPLAY_DISPLAY_MODE_WINDOWED ウィンドウ表示
MENU_OPTIONS_DISPLAY_DISPLAY_MODE_BORDERLESS_WINDOW ボーダレスウインドウ
MENU_OPTIONS_DISPLAY_RESOLUTION 解像度
MENU_OPTIONS_DISPLAY_VERTICAL_SYNCHRONIZATION 垂直同期
MENU_OPTIONS_DISPLAY_LANGUAGE 言語

WARNING_TUNNELING_TITLE ねえ！
WARNING_TUNNELING_LINE1 あなたは間違ったゲームをプレイしています！
WARNING_TUNNELING_LINE2 それを停止する！
WARNING_TUNNELING_BUTTON [OK]

INTERACTION_PRESS 押す
INTERACTION_USE 使う
INTERACTION_PLACE_LIFT ダウンリフトを配置します
INTERACTION_PLACE_LIFT_ON_GROUND 地面にリフトをバック配置します
INTERACTION_PLACE_CREATION_ON_LIFT リフトにこの作成を配置します
INTERACTION_CHANGE_ROTATIONAL_DIRECTION 回転方向を変更します
INTERACTION_TO_USE 使用します
INTERACTION_AND そして
INTERACTION_TO_ELEVATE_LIFT_UP_AND_DOWN 上下リフトを上昇させます

ALERT_DRIVERS_SEAT_ON_LIFT あなたが運転席を使用する前にリフトを削除していることを確認します
ALERT_ENGINE_NOT_CONNECTED このエンジンは、何にも接続されていません
ALERT_ENGINE_MAX_BEARINGS このエンジンは、既に軸受の最大数に接続されています。
ALERT_CONTROLLER_MAX_BEARINGS このコントローラは、すでに10の軸受に接続されています
ALERT_SWITCH_NOT_CONNECTED このスイッチは何にも接続されていません
ALERT_SWITCH_ON_LIFT このスイッチはリフト上にあります
ALERT_BUTTON_NOT_CONNECTED このボタンは何にも接続されていません
ALERT_BUTTON_ON_LIFT このボタンはリフト上にあります
ALERT_MAX_BEARINGS_ON_OBJECT 設定は、同じオブジェクトの詳細ベアリングを許可していません
ALERT_MAX_BEARINGS_IN_WORLD 設定は、世界のより多くのベアリングを許可していません
ALERT_MAX_SUSPENSIONS_IN_WORLD 設定は、世界のより多くの懸濁液を許可していません
ALERT_MAX_DRIVERS_SEATS_IN_WORLD 設定は、世界のより多くのドライバーの席を許可していません
ALERT_MAX_GAS_ENGINES_IN_WORLD 設定は、世界のより多くのガスエンジンを許可していません。
ALERT_MAX_ELECTRIC_ENGINES_IN_WORLD 設定は、世界のより多くの電気エンジンを許可していません
ALERT_MAX_THRUSTERS_IN_WORLD 設定は、世界のより多くのスラスタを許可していません
ALERT_MAX_CONTROLLERS_IN_WORLD 設定は、世界で複数のコントローラを使用できません。
ALERT_NOT_THE_CREATOR_OF_BLUEPRINT お客様はこのからくりの創作をした者でありません'RE

WELCOME_MESSAGE_GREETING こんにちはメカニック！
WELCOME_MESSAGE_MODE クリエイティブモード：メカニックをスクラップへようこそ！
WELCOME_MESSAGE_PARAGRAPH1 これはあなたの創造性を表現し、最も素晴らしい作品を構築するための 絶好の場所です。エンジニア？建築家？どちらも？あなたが必要とする すべてはすでに便利にあなたのインベントリ（I）に積層されています。
WELCOME_MESSAGE_PARAGRAPH2 開始するのに最適な方法は、あなたのホットバーに見つける「力学」ハンドブック を開くと「どのように車を構築するために」の手順に従うことです。 それはあなたが基本的なシステムで快適得るのを助けるだろう、 とあなたのスクラップメカニックのスキルを構築するための大きな基盤を提供します。
WELCOME_MESSAGE_BUTTON 分かった！

CHAT_WELCOME_MESSAGE_LINE1 ようこそメカニック！
CHAT_WELCOME_MESSAGE_LINE2 スクラップメカニックは作ることがまだ進行中であり、 今後のアップデートで多くのことを変更します。
CHAT_PLAYER_JOINED ゲームに参加しています。
CHAT_PLAYER_LEFT ゲームを残しています。

INVENTORY_BACKPACK バックパック
INVENTORY_TOOLS ツール
INVENTORY_DESCRIPTION 説明
INVENTORY_WEIGHT_LIGHT 軽量
INVENTORY_WEIGHT_MEDIUM 中量
INVENTORY_WEIGHT_HEAVY 重量

STEAM_WORKSHOP STEAMワークショップ
STEAM_WORKSHOP_DESCRIPTION 説明
STEAM_WORKSHOP_PARTS 部品
STEAM_WORKSHOP_DELETE 削除
STEAM_WORKSHOP_NO_DESCRIPTION このブループリントは説明がありません。

STEAM_WORKSHOP_IMPORT_TITLE ロードブループリント
STEAM_WORKSHOP_IMPORT_BUILD ビルド
STEAM_WORKSHOP_IMPORT_SHARE シェア
STEAM_WORKSHOP_IMPORT_UPDATE 更新
STEAM_WORKSHOP_IMPORT_UPLOADING アップロード...
STEAM_WORKSHOP_IMPORT_NO_BLUEPRINT ブループリントが見つからない

STEAM_WORKSHOP_EXPORT_TITLE セーブブループリント
STEAM_WORKSHOP_EXPORT_SAVE セーブ
STEAM_WORKSHOP_EXPORT_UNNAMED 名前のありません

CONTROLLER_HORN_PITCH ピッチ

CONTROLLER_MOTOR_GAS_ENGINE ガスエンジン
CONTROLLER_MOTOR_ELECTRIC_ENGINE 電気エンジン
CONTROLLER_MOTOR_OFF オフ

CONTROLLER_SENSOR_TITLE センサレンジ
CONTROLLER_SENSOR_MODE モード
CONTROLLER_SENSOR_MODE_SWITCH スイッチ
CONTROLLER_SENSOR_MODE_BUTTON ボタン
CONTROLLER_SENSOR_SOUND 音

CONTROLLER_SEQUENCE_TITLE ローテーションエディタ
CONTROLLER_SEQUENCE_NO_BEARINGS ベアリングが接続されていません
CONTROLLER_SEQUENCE_SLOW スロー
CONTROLLER_SEQUENCE_FAST ファスト

CONTROLLER_THRUSTER_TITLE スラスター

CONTROLLER_TONE_TITLE ノート
CONTROLLER_TONE_VOLUME ボリューム
CONTROLLER_TONE_BUTTON_RETRO レトロ
CONTROLLER_TONE_BUTTON_DANCE ダンス

CONTROLLER_LOGIC_TITLE 論理ゲート
CONTROLLER_LOGIC_LABEL_BASIC ベーシック
CONTROLLER_LOGIC_LABEL_INVERTED 倒さ
CONTROLLER_LOGIC_DESCRIPTION_AND トリガーの全てアクティブの場合
CONTROLLER_LOGIC_DESCRIPTION_OR トリガーのいずれかアクティブである場合
CONTROLLER_LOGIC_DESCRIPTION_XOR トリガーの一方のみがアクティブである場合
CONTROLLER_LOGIC_DESCRIPTION_NAND トリガーのいずれかが非アクティブである場合
CONTROLLER_LOGIC_DESCRIPTION_NOR トリガーのすべてが非アクティブである場合
CONTROLLER_LOGIC_DESCRIPTION_XNOR トリガーの偶数がアクティブである場合

CONTROLLER_TIMER_TITLE ディレイ
CONTROLLER_TIMER_SUFFIX_SECONDS s
CONTROLLER_TIMER_SUFFIX_TICKS Ticks

TOOLS_PAINT_COLORS 色

TOOL_TIP_IE_EDIT_DESCRIPTION 説明を編集
TOOL_TIP_IE_EDIT_NAME エディット名
TOOL_TIP_IE_SAVE_CREATION ライブラリにこの作成をセーブ
TOOL_TIP_IE_REMOVE_FROM_LIFT リフトからこの作品を削除
TOOL_TIP_IE_BLOCK_NOT_FOUND ブロックが見つかりません
TOOL_TIP_IE_OPEN_IN_STEAM_WORKSHOP STEAMのワークショップで開く
TOOL_TIP_IE_BROWSE_WORKSHOP ワークショップブラウズ
TOOL_TIP_IE_BUILD_CREATION この作成を構築
TOOL_TIP_IE_LIFT_OCCUPIED リフトは、すでに占有されています
TOOL_TIP_IE_UPLOAD_TO_WORKSHOP ワークショップへのアップロード
TOOL_TIP_IE_UPDATE_ON_WORKSHOP ワークショップは既に最新です
TOOL_TIP_IE_DELETE_BLUEPRINT このブループリントを削除
TOOL_TIP_IE_NEW_THUMBNAIL 新しいサムネイルを作成
TOOL_TIP_IE_DRAG_TO_ROTATE ドラッグで回転

HANDBOOK_TOOLTIP_HOW_TO_PLAY 遊び方
HANDBOOK_TOOLTIP_HOW_TO_BUILD_A_VEHICLE 車両を構築するために
HANDBOOK_TOOLTIP_BEARING ベアリング
HANDBOOK_TOOLTIP_LIFT リフト
HANDBOOK_TOOLTIP_CONNECT_TOOL 接続ツール
HANDBOOK_TOOLTIP_DRIVERS_SEAT ドライバーシート
HANDBOOK_TOOLTIP_GAS_ENGINE ガスエンジン
HANDBOOK_TOOLTIP_THRUSTER スラスター
HANDBOOK_TOOLTIP_TRIGGERS トリガー
HANDBOOK_TOOLTIP_CONTROLLER コントローラ
HANDBOOK_TOOLTIP_LOGIC_GATE 論理ゲート
HANDBOOK_TOOLTIP_FREQUENTLY_ASKED_QUESTIONS よくある質問

HANDBOOK_HOLD_AND_DRAG 押しながら、ドラッグ
HANDBOOK_PRESS 押す
HANDBOOK_RELEASE リリース
HANDBOOK_HOLD ホールド
HANDBOOK_ARROW_KEYS 矢印キー

HANDBOOK_HOW_TO_PLAY_TITLE 遊び方

HANDBOOK_HOW_TO_PLAY_PAGE1_SUBTITLE1 •ナビゲーション＆移動のコントロール
HANDBOOK_HOW_TO_PLAY_PAGE1_SUBTITLE2 •インベントリ＆ホットバーを使用する方法
HANDBOOK_HOW_TO_PLAY_PAGE1_MOVE 移動
HANDBOOK_HOW_TO_PLAY_PAGE1_LOOK ルック
HANDBOOK_HOW_TO_PLAY_PAGE1_CAMERA カメラ
HANDBOOK_HOW_TO_PLAY_PAGE1_IN_OUT イン/アウト
HANDBOOK_HOW_TO_PLAY_PAGE1_JUMP ジャンプ
HANDBOOK_HOW_TO_PLAY_PAGE1_SPRINT スプリント
HANDBOOK_HOW_TO_PLAY_PAGE1_CROUCH クラウチ
HANDBOOK_HOW_TO_PLAY_PAGE1_INVENTORY インベントリ
HANDBOOK_HOW_TO_PLAY_PAGE1_HOTBAR ホットバー

HANDBOOK_HOW_TO_PLAY_PAGE2_SUBTITLE1 •配置する方法、回転してオブジェクトを削除
HANDBOOK_HOW_TO_PLAY_PAGE2_SUBTITLE2 方向スケーリング•スケールベース素材と変更
HANDBOOK_HOW_TO_PLAY_PAGE2_ADJUST_POSITION 位置を調整します
HANDBOOK_HOW_TO_PLAY_PAGE2_OBJECT_PLACE 場所オブジェクト
HANDBOOK_HOW_TO_PLAY_PAGE2_OBJECT_REMOVE オブジェクトを削除します
HANDBOOK_HOW_TO_PLAY_PAGE2_OBJECT_ROTATE オブジェクトを回転させます
HANDBOOK_HOW_TO_PLAY_PAGE2_ROTATE_DIRECTION 方向を回転させます

HANDBOOK_HOW_TO_PLAY_PAGE3_SUBTITLE •スクラップメカニックのブロックおよび部品については、こちらをご覧ください
HANDBOOK_HOW_TO_PLAY_PAGE3_BLOCKS ブロック
HANDBOOK_HOW_TO_PLAY_PAGE3_BLOCKS_TEXT 最も一般的な構成要素は、これらの材料のブロックは、 石、木材、プラスチックまたは金属から作ることができ、 単純なドラッグ・アンド・リリースアクションで スケーリングすることができます。 スピードと快適で大規模な構造物を構築するための理想的。 エイブルは、マウスの右ボタンを押しながらドラッグして 削除します。 ブロックは、あなたのインベントリに青い線で マークされています。
HANDBOOK_HOW_TO_PLAY_PAGE3_INTERACTIVE_PARTS インタラクティブパーツ
HANDBOOK_HOW_TO_PLAY_PAGE3_INTERACTIVE_PARTS_TEXT すべてのインタラクティブな部分は、それらを移動することに よって生活にあなたの作品をもたらす特別な機能を持っている スピン、ドライブ、飛ぶ、より。これは、ガスエンジンから 完全に機能ラジオに何もすることができ、 あなたのインベントリにオレンジ色の線でマークされています。 
HANDBOOK_HOW_TO_PLAY_PAGE3_PARTS 部品
HANDBOOK_HOW_TO_PLAY_PAGE3_PARTS_TEXT ユニークな形状の部品を構築し、あなたの作品を パーソナライズするための完璧に仕上げます。 パーツは、フレンドリーな小さなアヒルの置物に 工業用鋼支持フレームから何も することができ、 あなたのインベントリにある緑色の線で マークされています。
HANDBOOK_HOW_TO_PLAY_PAGE3_CONSUMABLES 消耗品
HANDBOOK_HOW_TO_PLAY_PAGE3_CONSUMABLES_TEXT 近日公開...

HANDBOOK_HOW_TO_PLAY_PAGE4_SUBTITLE •すべてのスクラップメカニックのツールについて
HANDBOOK_HOW_TO_PLAY_PAGE4_CONNECT_TOOL ツールを接続します
HANDBOOK_HOW_TO_PLAY_PAGE4_CONNECT_TOOL_TEXT すべてのメカニックの親友！例えば、 一緒にインタラクティブな部品を フックするために使用します。 ベアリングへのガスエンジンや スラスタを運転席に。あなたが一緒に 接続することができ、あなたは仕事が 接続ツールを使用して成し遂げる事が たくさんあります。
HANDBOOK_HOW_TO_PLAY_PAGE4_LIFT リフト
HANDBOOK_HOW_TO_PLAY_PAGE4_LIFT_TEXT  リフト上の建物は地面に固定される 　ことはありません自由に移動可能な 　構造を作成するだけでなく、建物のあなたの 　容易さのために動くのベアリングを 防止します。あなたはいつでも戻って 　リフト上の任意のアンカーされない作品を 置くことができます。
HANDBOOK_HOW_TO_PLAY_PAGE4_SLEDGEHAMMER スレッジハンマー
HANDBOOK_HOW_TO_PLAY_PAGE4_SLEDGEHAMMER_TEXT この強大なハンマーは、 あなたがそれらを押すことで周りの緩いアイテムをプッシュできるようになります。 また、 マウスの右ボタンで着信攻撃をブロックすることができます。 
HANDBOOK_HOW_TO_PLAY_PAGE4_PAINT_TOOL ペイントツール
HANDBOOK_HOW_TO_PLAY_PAGE4_PAINT_TOOL_TEXT あなたの作品をパーソナライズ、 あるいは美しい芸術を作るために、 任意の一部またはブロックをペイント！マウスの左ボタンを使用してペイントし、 右側で削除します。  Qを押してカラーセレクタを開きます。 あなたはより大きな表面をペイントしたい場合は、 単にマウスの左ボタンを押したままドラッグします。 
HANDBOOK_HOW_TO_PLAY_PAGE4_WELD_TOOL 溶接ツール
HANDBOOK_HOW_TO_PLAY_PAGE4_WELD_TOOL_TEXT 一緒にあなたの作品を溶接！溶接ツールを選択し、 緩い作成を左クリックし、 次にそれらを一緒に溶接する他の創造の表面を左クリックします。 また、 リフトに触れる部分に参加できます。 あなたが一緒に溶接したい部分に第1の部分とドラッグマウスの左ボタンを押したままにします。 

HANDBOOK_HOW_TO_BUILD_A_VEHICLE_TITLE 車両を構築するために

HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE1_SUBTITLE1 •示すように、リフト上のブロックから基地を建設、地面にリフトを配置します。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE1_SUBTITLE2 •必要なベアリング、ホイール、運転席とガスエンジンを配置します。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE1_SUBTITLE3 •接続ツールを使用して、すべてを一緒に接続します。

HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE2_SUBTITLE1 •示されるように、すべての接続が正確であることを確認してください。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE2_SUBTITLE2 •正しい回転にすべてのベアリングを設定し、エンジンを始動します。
HANDBOOK_HOW_TO_BUILD_A_VEHICLE_PAGE2_SUBTITLE3 エンドレス車両はこれらの基本的な手順に従うことによって構築することができますので、試してください！

HANDBOOK_BEARING_TITLE ベアリング

HANDBOOK_BEARING_PAGE1_SUBTITLE1 •あなたが回転する軸受に取り付けるもの。
HANDBOOK_BEARING_PAGE1_SUBTITLE2 •エンジンを搭載し、またはコントローラに連結された場合、接続ツールを使用することができます
HANDBOOK_BEARING_PAGE1_SUBTITLE3 運転席に接続した場合•、軸受はキーボードで制御することができます。

HANDBOOK_LIFT_TITLE リフト

HANDBOOK_LIFT_PAGE1_SUBTITLE1 •地面に固定されてからあなたの創造を防止するために、リフトにビルドします。
HANDBOOK_LIFT_PAGE1_SUBTITLE2 •建物のあなたの容易さのために工事中の場所でベアリングをロックします。
HANDBOOK_LIFT_PAGE1_SUBTITLE3 •リフトはあなたの創造をリリースする予定の削除が、あなたはいつでもリフト上に緩い構造-場所を再することができます。
HANDBOOK_LIFT_PAGE1_ADJUST_HEIGHT 高さを調整します
HANDBOOK_LIFT_PAGE1_PICKING_UP_OBJECTS 緩いオブジェクトを拾い
HANDBOOK_LIFT_PAGE1_PICKING_UP_OBJECTS_CLICK_ON_OBJECT オブジェクトをクリック
HANDBOOK_LIFT_PAGE1_PICKING_UP_OBJECTS_CLICK_ON_GROUND 地面をクリックします

HANDBOOK_CONNECT_TOOL_TITLE 接続ツール

HANDBOOK_CONNECT_TOOL_PAGE1_SUBTITLE1 •示されるように、あなたが別の接続ポイントからドラッグすることで、インタラクティブな部品を接続することができます。
HANDBOOK_CONNECT_TOOL_PAGE1_SUBTITLE2 •あなたは、軸受にエンジンを接続した場合、あなたは右の回転を変更するためにクリックすることができます。

HANDBOOK_DRIVERS_SEAT_TITLE ドライバーシート

HANDBOOK_DRIVERS_SEAT_PAGE1_SUBTITLE1 •あなたは、接続ツールを使用して、軸受に運転席を接続する場合は、軸受の直接制御になるだろう
HANDBOOK_DRIVERS_SEAT_PAGE1_SUBTITLE2    一方で着席。同じことがエンジンに適用されます。
HANDBOOK_DRIVERS_SEAT_PAGE1_SUBTITLE3 •接続のボタンやスイッチも席から起動することができます。

HANDBOOK_ENGINE_TITLE ガスエンジン

HANDBOOK_ENGINE_PAGE1_SUBTITLE1 •5ベアリングに接続したときに回転するまでにします。
HANDBOOK_ENGINE_PAGE1_SUBTITLE2 •イグニッションとスピードコントロールは、Eを押してアクセスされています
HANDBOOK_ENGINE_PAGE1_SUBTITLE3 • 示される運転席に接続していることができます。

HANDBOOK_THRUSTER_TITLE スラスター

HANDBOOK_THRUSTER_PAGE1_SUBTITLE1 スラスタが飛んであなたの作品を送って！
HANDBOOK_THRUSTER_PAGE1_SUBTITLE2 •任意のトリガーの種類や運転席を接続することにより活性化。
HANDBOOK_THRUSTER_PAGE1_SUBTITLE3 •あなたが飛んで送信したいオブジェクトが地面に固定されていないことを確認してください。

HANDBOOK_TRIGGERS_TITLE トリガー

HANDBOOK_TRIGGERS_PAGE1_SUBTITLE1 •エンジン、スラスタやコントローラなどのような他のインタラクティブな部分を活性化するために使用します。
HANDBOOK_TRIGGERS_PAGE1_SUBTITLE2 •異なる方法で動作するトリガの3種類があります。
HANDBOOK_TRIGGERS_PAGE1_SWITCH スイッチ
HANDBOOK_TRIGGERS_PAGE1_SWITCH_TEXT オンとオフの作品を接続切り替えます。
HANDBOOK_TRIGGERS_PAGE1_BUTTON ボタン
HANDBOOK_TRIGGERS_PAGE1_BUTTON_TEXT ボタンが押されている間は、つながれたパーツをアクティブにします。
HANDBOOK_TRIGGERS_PAGE1_SENSOR センサー
HANDBOOK_TRIGGERS_PAGE1_SENSOR_TEXT 若干のものがその範囲内に移動する際に、つながれた作品をアクティブにします。

HANDBOOK_CONTROLLER_TITLE コントローラ

HANDBOOK_CONTROLLER_PAGE1_SUBTITLE1 •マシンを移動し、変換の作成を可能にします。
HANDBOOK_CONTROLLER_PAGE1_SUBTITLE2 •プログラムあなたのベアリングは、設定された順序でセット度で回転し、トリガーを使用してアクティブにします。
HANDBOOK_CONTROLLER_PAGE1_SUBTITLE3 自動ドアを構築することにより、基本を学びましょう。

HANDBOOK_CONTROLLER_PAGE2_SUBTITLE1 •マウスの左ボタンとドラッグまたは左に示すように、ダイヤル上の度に設定する権利を持ちます。
HANDBOOK_CONTROLLER_PAGE2_SUBTITLE2 •あなたがコントローラに接続されたトリガでドアをアクティブにします。
HANDBOOK_CONTROLLER_PAGE2_SUBTITLE3 コントローラは、無限の可能性と必要不可欠なインタラクティブな部分です。
HANDBOOK_CONTROLLER_PAGE2_ADJUST_SPEED コントローラの速度を調整します
HANDBOOK_CONTROLLER_PAGE2_ADJUST_START_ANGLE 開始位置を調整します
HANDBOOK_CONTROLLER_PAGE2_FINE_TUNE_ANGLE 押しながら角度を微調整
HANDBOOK_CONTROLLER_PAGE2_TOGGLE_REPEAT 繰り返すシーケンスを切り替えます
HANDBOOK_CONTROLLER_PAGE2_TOGGLE_BACK_AND_FORTH 前後に再生するシーケンスを切り替えます

HANDBOOK_LOGIC_GATE_TITLE 論理ゲート

HANDBOOK_LOGIC_GATE_PAGE1_SUBTITLE1 •あなたは、ロジックベースのソリューションを作成できるようにします。
HANDBOOK_LOGIC_GATE_PAGE1_SUBTITLE2 •論理ブロックを使用すると、物理的な形でプログラムすることができる強力なブロックです。
HANDBOOK_LOGIC_GATE_PAGE1_SUBTITLE3 •二つの別々のトリガに一つの扉を開くための基本的なセットアップを学ぶために、次の手順を実行します。

HANDBOOK_FAQ_TITLE 一般的な質問

HANDBOOK_FAQ_PAGE1_SUBTITLE1 •失われたとイライラ感じですか？
HANDBOOK_FAQ_PAGE1_SUBTITLE2 •ここでは、あなたの問題に対する答えを見つけるかもしれません。
HANDBOOK_FAQ_PAGE1_CREATION_FELL_OVER ああ、いや！私の作成が倒れ、どのように私は再びそれを 持ち上げていますか？
